drilling_method_guid,drilling_method_code,description,display_order,create_date,update_date,create_user,update_user
"262aca1e5db211e7907ba6006ad3dba0","AIR_ROTARY","Air Rotary","10","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262ace565db211e7907ba6006ad3dba0","AUGER","Auger","20","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262ad3d85db211e7907ba6006ad3dba0","CABLE_TOOL","Cable Tool","30","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262ad54a5db211e7907ba6006ad3dba0","DRIVING","Driving","40","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262ad6265db211e7907ba6006ad3dba0","DUGOUT","Dugout","50","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262ad6ee5db211e7907ba6006ad3dba0","DUO_ROTARY","Duo Rotary","60","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262ad7b65db211e7907ba6006ad3dba0","EXCAVATING","Excavating","70","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262adb445db211e7907ba6006ad3dba0","JETTING","Jetting","80","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262adc2a5db211e7907ba6006ad3dba0","MUD_ROTARY","Mud Rotary","90","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262adcf25db211e7907ba6006ad3dba0","OTHER","Other","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"262addb05db211e7907ba6006ad3dba0","UNK","Unknown","110","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
