registries_well_qualification_guid,registries_subactivity_code,registries_well_class_code,display_order,create_date,update_date,create_user,update_user
"f95920cf92c94e8fbcc3b360ff1f857c","WATER","WAT","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"d78f29fccc8a40e8a80bb3b4e0e4dc82","WATER","MON","4","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"8f632fff6bf94a6380dedcafce98f5db","WATER","RECH","6","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"5e1d7db5a11c405eab0dc7da5c83a094","WATER","DEWAT","8","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"68ff6d7f69bd4022ac1af8f14b32585d","WATER","REM","10","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"4b70337d457f44379c625a13da1f04db","WATER","GEO","12","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"fa6b7b4ffcbd4e9783a73ab02eaed942","WATER","PUMP","14","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"36690d31434d49f78f85ba4b791c9fdd","GEOTECH","MON","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"a2a5ef32fde24a70ac46bd2ccfad54c9","GEOTECH","REM","4","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"2f734bc65e0e4ce7859e54b56b24d2fd","GEOTECH","GEO","6","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"0cbac383d61a4c3292af0f9e56d72fc5","GEOXCHG","CLOS","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"2f8677d85c034ebd8814aeb7acad4426","PUMPINST","PUMP","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
